application_uuid,apply_dts,is_night_apply,is_workday_apply,is_worktime_apply,apply_amount,apply_month,register_diffdays,tg_location,login_origin,is_reapply,address_length,mobile_company,mobile_segment,net_age,age,gender,regaud_diffdays,cid_prov_lvl,addr_prov_lvl,mobile_prov_lvl,cid_city_lvl,addr_city_lvl,bank_prov_lvl,bank_city_lvl,mobile_city_lvl,job_type,rela1_lvl,rela2_lvl,rela3_lvl,cidcity_bankcity,addrcity_bankcity,mobile_cardmobile,addrcity_mobilecity,addrcity_compcity,mobilecity_compcity,tid,target
web1282094958720209,6969121.0,0,1,1,10000,12,-89.0,1,,,14,2,5,,29,0,-9274079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,12345678123456781234567812345678,1
web1282094973815508,6969121.0,0,1,1,10000,12,-91.0,1,,,14,2,3,,29,0,-9446879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282094981093157,6969121.0,0,1,1,10000,12,-92.0,1,,,14,2,3,,28,1,-9533279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282094988291869,6969121.0,0,1,1,10000,12,-93.0,1,,,14,2,1,,25,0,-9619679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282094995564198,6969121.0,0,1,1,10000,12,-94.0,1,,,14,2,3,,43,0,-9706079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095002723961,6969121.0,0,1,1,10000,12,-95.0,1,,,14,3,3,,22,1,-9792479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095009926436,6969121.0,0,1,1,10000,12,-96.0,1,,,14,2,5,,25,1,-9878879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095017214069,6969121.0,0,1,1,10000,12,-97.0,1,,,14,2,5,,25,1,-9965279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095024468544,6969121.0,0,1,1,10000,12,-98.0,1,,,14,2,5,,31,0,-10051679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095031710330,6969121.0,0,1,1,10000,12,-99.0,1,,,14,2,3,,27,1,-10138079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,1,0,0,0,,1
web1282095038878779,6969121.0,0,1,1,10000,12,-100.0,1,,,14,2,3,,23,1,-10224479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095046111476,6969121.0,0,1,1,10000,12,-101.0,1,,,14,2,3,,23,1,-10310879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095053289864,6969121.0,0,1,1,10000,12,-102.0,1,,,14,2,1,,36,1,-10397279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
